file_no,process_name,pid,tid
11,dconf worker,18245,18248
11,/usr/bin/dbus-launch,18249,18249
11,/usr/bin/firefox,18247,18247
11,/usr/bin/firefox,18245,18260
11,/usr/bin/firefox,18245,18264
11,/usr/bin/dbus-launch,18288,18288
11,/usr/bin/firefox,18245,18256
11,/usr/bin/firefox,18245,18255
11,/opt/firefox31/plugin-container,18297,18297
11,/opt/firefox31/plugin-container,18297,18299
11,/usr/bin/dbus-launch,18300,18300
11,sh,18302,18302
11,/bin/ps,18303,18303
11,/bin/grep,18304,18304
11,/opt/firefox31/plugin-container,18310,18310
11,/opt/firefox31/plugin-container,18310,18311
12,/usr/bin/firefox,18334,18334
12,dconf worker,18334,18337
12,/usr/bin/dbus-launch,18338,18338
12,/usr/bin/firefox,18336,18336
12,/usr/bin/firefox,18334,18349
12,/usr/bin/firefox,18334,18353
12,/usr/bin/dbus-launch,18371,18371
12,/usr/bin/firefox,18334,18345
12,/usr/bin/firefox,18334,18344
12,/opt/firefox31/plugin-container,18380,18380
12,/opt/firefox31/plugin-container,18380,18382
12,/usr/bin/dbus-launch,18383,18383
12,sh,18385,18385
12,/bin/ps,18386,18386
12,/bin/grep,18387,18387
12,/opt/firefox31/plugin-container,18393,18393
12,/opt/firefox31/plugin-container,18393,18395
13,/usr/bin/firefox,18417,18417
13,dconf worker,18417,18420
13,/usr/bin/dbus-launch,18421,18421
13,/usr/bin/firefox,18419,18419
13,/usr/bin/firefox,18417,18432
13,/usr/bin/firefox,18417,18436
13,/usr/bin/dbus-launch,18463,18463
13,/usr/bin/firefox,18417,18428
13,/usr/bin/firefox,18417,18427
13,/opt/firefox31/plugin-container,18472,18472
13,/opt/firefox31/plugin-container,18472,18474
13,/usr/bin/dbus-launch,18475,18475
13,sh,18477,18477
13,/bin/ps,18478,18478
13,/bin/grep,18479,18479
13,/opt/firefox31/plugin-container,18485,18485
13,/opt/firefox31/plugin-container,18485,18486
14,/usr/bin/firefox,18509,18509
14,dconf worker,18509,18512
14,/usr/bin/dbus-launch,18513,18513
14,/usr/bin/firefox,18511,18511
14,/usr/bin/firefox,18509,18524
14,/usr/bin/firefox,18509,18528
14,/usr/bin/dbus-launch,18555,18555
14,/usr/bin/firefox,18509,18520
14,/usr/bin/firefox,18509,18519
14,/opt/firefox31/plugin-container,18564,18564
14,/opt/firefox31/plugin-container,18564,18566
14,/usr/bin/dbus-launch,18567,18567
14,sh,18569,18569
14,/bin/ps,18570,18570
14,/bin/grep,18571,18571
14,/opt/firefox31/plugin-container,18577,18577
14,/opt/firefox31/plugin-container,18577,18578
15,/usr/bin/firefox,18600,18600
15,dconf worker,18600,18603
15,/usr/bin/dbus-launch,18604,18604
15,/usr/bin/firefox,18602,18602
15,/usr/bin/firefox,18600,18615
15,/usr/bin/firefox,18600,18619
15,/usr/bin/dbus-launch,18634,18634
15,/usr/bin/firefox,18600,18611
15,/usr/bin/firefox,18600,18610
15,/opt/firefox31/plugin-container,18643,18643
15,/opt/firefox31/plugin-container,18643,18645
15,/usr/bin/dbus-launch,18646,18646
15,sh,18648,18648
15,/bin/ps,18649,18649
15,/bin/grep,18650,18650
15,/opt/firefox31/plugin-container,18656,18656
15,/opt/firefox31/plugin-container,18656,18657
16,/usr/bin/firefox,18680,18680
16,dconf worker,18680,18683
16,/usr/bin/dbus-launch,18684,18684
16,/usr/bin/firefox,18682,18682
16,/usr/bin/firefox,18680,18695
16,/usr/bin/firefox,18680,18699
16,/usr/bin/dbus-launch,18723,18723
16,/usr/bin/firefox,18680,18691
16,/usr/bin/firefox,18680,18690
16,/opt/firefox31/plugin-container,18733,18733
16,/opt/firefox31/plugin-container,18733,18735
16,/usr/bin/dbus-launch,18736,18736
16,sh,18738,18738
16,/bin/ps,18739,18739
16,/bin/grep,18740,18740
16,/opt/firefox31/plugin-container,18746,18746
16,/opt/firefox31/plugin-container,18746,18747
17,/usr/bin/firefox,18769,18769
17,dconf worker,18769,18772
17,/usr/bin/dbus-launch,18773,18773
17,/usr/bin/firefox,18771,18771
17,/usr/bin/firefox,18769,18784
17,/usr/bin/firefox,18769,18788
17,/usr/bin/dbus-launch,18812,18812
17,/usr/bin/firefox,18769,18780
17,/usr/bin/firefox,18769,18779
17,/opt/firefox31/plugin-container,18822,18822
17,/opt/firefox31/plugin-container,18822,18824
17,/usr/bin/dbus-launch,18825,18825
17,sh,18827,18827
17,/bin/ps,18828,18828
17,/bin/grep,18829,18829
17,/opt/firefox31/plugin-container,18835,18835
17,/opt/firefox31/plugin-container,18835,18836
18,/usr/bin/firefox,18858,18858
18,dconf worker,18858,18861
18,/usr/bin/dbus-launch,18862,18862
18,/usr/bin/firefox,18860,18860
18,/usr/bin/firefox,18858,18873
18,/usr/bin/firefox,18858,18877
18,/usr/bin/dbus-launch,18899,18899
18,/usr/bin/firefox,18858,18869
18,/usr/bin/firefox,18858,18868
18,/opt/firefox31/plugin-container,18909,18909
18,/opt/firefox31/plugin-container,18909,18911
18,/usr/bin/dbus-launch,18912,18912
18,sh,18914,18914
18,/bin/ps,18915,18915
18,/bin/grep,18916,18916
18,/opt/firefox31/plugin-container,18922,18922
18,/opt/firefox31/plugin-container,18922,18923
19,/usr/bin/firefox,18946,18946
19,dconf worker,18946,18949
19,/usr/bin/dbus-launch,18950,18950
19,/usr/bin/firefox,18948,18948
19,/usr/bin/firefox,18946,18961
19,/usr/bin/firefox,18946,18965
19,/usr/bin/dbus-launch,18989,18989
19,/usr/bin/firefox,18946,18953
19,/usr/bin/firefox,18946,18952
19,/opt/firefox31/plugin-container,18999,18999
19,/opt/firefox31/plugin-container,18999,19001
19,/usr/bin/dbus-launch,19002,19002
19,sh,19004,19004
19,/bin/ps,19005,19005
19,/bin/grep,19006,19006
19,/opt/firefox31/plugin-container,19012,19012
19,/opt/firefox31/plugin-container,19012,19013
20,/usr/bin/firefox,19035,19035
20,dconf worker,19035,19038
20,/usr/bin/dbus-launch,19039,19039
20,/usr/bin/firefox,19037,19037
20,/usr/bin/firefox,19035,19050
20,/usr/bin/firefox,19035,19054
20,/usr/bin/dbus-launch,19079,19079
20,/usr/bin/firefox,19035,19046
20,/usr/bin/firefox,19035,19045
20,/opt/firefox31/plugin-container,19088,19088
20,/opt/firefox31/plugin-container,19088,19090
20,/usr/bin/dbus-launch,19091,19091
20,sh,19093,19093
20,/bin/ps,19094,19094
20,/bin/grep,19095,19095
20,/opt/firefox31/plugin-container,19102,19102
20,/opt/firefox31/plugin-container,19102,19103
21,/usr/bin/firefox,19125,19125
21,dconf worker,19125,19128
21,/usr/bin/dbus-launch,19129,19129
21,/usr/bin/firefox,19127,19127
21,/usr/bin/firefox,19125,19140
21,/usr/bin/firefox,19125,19144
21,/usr/bin/dbus-launch,19165,19165
21,/usr/bin/firefox,19125,19136
21,/usr/bin/firefox,19125,19135
21,/opt/firefox31/plugin-container,19174,19174
21,/opt/firefox31/plugin-container,19174,19176
21,/usr/bin/dbus-launch,19177,19177
21,sh,19179,19179
21,/bin/ps,19180,19180
21,/bin/grep,19181,19181
21,/opt/firefox31/plugin-container,19187,19187
21,/opt/firefox31/plugin-container,19187,19188
22,/usr/bin/firefox,19211,19211
22,dconf worker,19211,19214
22,/usr/bin/dbus-launch,19215,19215
22,/usr/bin/firefox,19213,19213
22,/usr/bin/firefox,19211,19226
22,/usr/bin/firefox,19211,19230
22,/usr/bin/dbus-launch,19251,19251
22,/usr/bin/firefox,19211,19222
22,/usr/bin/firefox,19211,19221
22,/opt/firefox31/plugin-container,19261,19261
22,/opt/firefox31/plugin-container,19261,19263
22,/usr/bin/dbus-launch,19264,19264
22,sh,19266,19266
22,/bin/ps,19267,19267
22,/bin/grep,19268,19268
22,/opt/firefox31/plugin-container,19274,19274
22,/opt/firefox31/plugin-container,19274,19275
23,/usr/bin/firefox,19297,19297
23,dconf worker,19297,19300
23,/usr/bin/dbus-launch,19301,19301
23,/usr/bin/firefox,19299,19299
23,/usr/bin/firefox,19297,19312
23,/usr/bin/firefox,19297,19316
23,/usr/bin/dbus-launch,19340,19340
23,/usr/bin/firefox,19297,19308
23,/usr/bin/firefox,19297,19307
23,/opt/firefox31/plugin-container,19349,19349
23,/opt/firefox31/plugin-container,19349,19351
23,/usr/bin/dbus-launch,19352,19352
23,sh,19354,19354
23,/bin/ps,19355,19355
23,/bin/grep,19356,19356
23,/opt/firefox31/plugin-container,19362,19362
23,/opt/firefox31/plugin-container,19362,19363
24,/usr/bin/firefox,19386,19386
24,dconf worker,19386,19389
24,/usr/bin/dbus-launch,19390,19390
24,/usr/bin/firefox,19388,19388
24,/usr/bin/firefox,19386,19401
24,/usr/bin/firefox,19386,19405
24,/usr/bin/dbus-launch,19432,19432
24,/usr/bin/firefox,19386,19397
24,/usr/bin/firefox,19386,19396
24,/opt/firefox31/plugin-container,19442,19442
24,/opt/firefox31/plugin-container,19442,19444
24,/usr/bin/dbus-launch,19445,19445
24,sh,19447,19447
24,/bin/grep,19449,19449
24,/bin/ps,19448,19448
24,/opt/firefox31/plugin-container,19455,19455
24,/opt/firefox31/plugin-container,19455,19456
25,/usr/bin/firefox,19479,19479
25,dconf worker,19479,19482
25,/usr/bin/dbus-launch,19483,19483
25,/usr/bin/firefox,19481,19481
25,/usr/bin/firefox,19479,19494
25,/usr/bin/firefox,19479,19498
25,/usr/bin/dbus-launch,19516,19516
25,/usr/bin/firefox,19479,19490
25,/usr/bin/firefox,19479,19489
25,/opt/firefox31/plugin-container,19526,19526
25,/opt/firefox31/plugin-container,19526,19528
25,/usr/bin/dbus-launch,19529,19529
25,sh,19531,19531
25,/bin/ps,19532,19532
25,/bin/grep,19533,19533
25,/opt/firefox31/plugin-container,19539,19539
25,/opt/firefox31/plugin-container,19539,19540
26,/usr/bin/firefox,19562,19562
26,dconf worker,19562,19565
26,/usr/bin/dbus-launch,19566,19566
26,/usr/bin/firefox,19564,19564
26,/usr/bin/firefox,19562,19577
26,/usr/bin/firefox,19562,19581
26,/usr/bin/dbus-launch,19603,19603
26,/usr/bin/firefox,19562,19573
26,/usr/bin/firefox,19562,19572
26,/opt/firefox31/plugin-container,19613,19613
26,/opt/firefox31/plugin-container,19613,19615
26,/usr/bin/dbus-launch,19616,19616
26,sh,19618,19618
26,/bin/ps,19619,19619
26,/bin/grep,19620,19620
26,/opt/firefox31/plugin-container,19626,19626
26,/opt/firefox31/plugin-container,19626,19627
27,/usr/bin/firefox,19650,19650
27,dconf worker,19650,19653
27,/usr/bin/dbus-launch,19654,19654
27,/usr/bin/firefox,19652,19652
27,/usr/bin/firefox,19650,19665
27,/usr/bin/firefox,19650,19669
27,/usr/bin/dbus-launch,19694,19694
27,/usr/bin/firefox,19650,19661
27,/usr/bin/firefox,19650,19660
27,/opt/firefox31/plugin-container,19703,19703
27,/opt/firefox31/plugin-container,19703,19705
27,/usr/bin/dbus-launch,19706,19706
27,sh,19708,19708
27,/bin/ps,19709,19709
27,/bin/grep,19710,19710
27,/opt/firefox31/plugin-container,19716,19716
27,/opt/firefox31/plugin-container,19716,19717
28,/usr/bin/firefox,19739,19739
28,dconf worker,19739,19742
28,/usr/bin/dbus-launch,19743,19743
28,/usr/bin/firefox,19741,19741
28,/usr/bin/firefox,19739,19754
28,/usr/bin/firefox,19739,19758
28,/usr/bin/dbus-launch,19776,19776
28,/usr/bin/firefox,19739,19750
28,/usr/bin/firefox,19739,19749
28,/opt/firefox31/plugin-container,19786,19786
28,/opt/firefox31/plugin-container,19786,19788
28,/usr/bin/dbus-launch,19789,19789
28,sh,19791,19791
28,/bin/ps,19792,19792
28,/bin/grep,19793,19793
28,/opt/firefox31/plugin-container,19799,19799
28,/opt/firefox31/plugin-container,19799,19800
29,/usr/bin/firefox,19822,19822
29,dconf worker,19822,19825
29,/usr/bin/dbus-launch,19826,19826
29,/usr/bin/firefox,19824,19824
29,/usr/bin/firefox,19822,19837
29,/usr/bin/firefox,19822,19841
29,/usr/bin/dbus-launch,19868,19868
29,/usr/bin/firefox,19822,19833
29,/usr/bin/firefox,19822,19832
29,/opt/firefox31/plugin-container,19877,19877
29,/opt/firefox31/plugin-container,19877,19879
29,/usr/bin/dbus-launch,19880,19880
29,sh,19882,19882
29,/bin/ps,19883,19883
29,/bin/grep,19884,19884
29,/opt/firefox31/plugin-container,19890,19890
29,/opt/firefox31/plugin-container,19890,19891
30,/usr/bin/firefox,19914,19914
30,dconf worker,19914,19917
30,/usr/bin/dbus-launch,19918,19918
30,/usr/bin/firefox,19916,19916
30,/usr/bin/firefox,19914,19929
30,/usr/bin/firefox,19914,19933
30,/usr/bin/dbus-launch,19956,19956
30,/usr/bin/firefox,19914,19925
30,/usr/bin/firefox,19914,19924
30,/opt/firefox31/plugin-container,19965,19965
30,/opt/firefox31/plugin-container,19965,19967
30,/usr/bin/dbus-launch,19968,19968
30,sh,19970,19970
30,/bin/ps,19971,19971
30,/bin/grep,19972,19972
30,/opt/firefox31/plugin-container,19978,19978
30,/opt/firefox31/plugin-container,19978,19979
31,/usr/bin/firefox,20001,20001
31,dconf worker,20001,20004
31,/usr/bin/dbus-launch,20005,20005
31,/usr/bin/firefox,20003,20003
31,/usr/bin/firefox,20001,20016
31,/usr/bin/firefox,20001,20020
31,/usr/bin/dbus-launch,20036,20036
31,/usr/bin/firefox,20001,20012
31,/usr/bin/firefox,20001,20011
31,/opt/firefox31/plugin-container,20045,20045
31,/opt/firefox31/plugin-container,20045,20047
31,/usr/bin/dbus-launch,20048,20048
31,sh,20050,20050
31,/bin/ps,20051,20051
31,/bin/grep,20052,20052
32,/usr/bin/firefox,20074,20074
32,dconf worker,20074,20077
32,/usr/bin/dbus-launch,20078,20078
32,/usr/bin/firefox,20076,20076
32,/usr/bin/firefox,20074,20089
32,/usr/bin/firefox,20074,20093
32,/usr/bin/dbus-launch,20114,20114
32,/usr/bin/firefox,20074,20085
32,/usr/bin/firefox,20074,20084
32,/opt/firefox31/plugin-container,20123,20123
32,/opt/firefox31/plugin-container,20123,20125
32,/usr/bin/dbus-launch,20126,20126
32,sh,20128,20128
32,/bin/ps,20129,20129
32,/bin/grep,20130,20130
32,/opt/firefox31/plugin-container,20136,20136
32,/opt/firefox31/plugin-container,20136,20140
33,/usr/bin/firefox,20163,20163
33,dconf worker,20163,20166
33,/usr/bin/dbus-launch,20167,20167
33,/usr/bin/firefox,20165,20165
33,/usr/bin/firefox,20163,20178
33,/usr/bin/firefox,20163,20182
33,/usr/bin/dbus-launch,20205,20205
33,/usr/bin/firefox,20163,20174
33,/usr/bin/firefox,20163,20173
33,/opt/firefox31/plugin-container,20214,20214
33,/opt/firefox31/plugin-container,20214,20216
33,/usr/bin/dbus-launch,20217,20217
33,sh,20219,20219
33,/bin/ps,20220,20220
33,/bin/grep,20221,20221
34,/usr/bin/firefox,20240,20240
34,dconf worker,20240,20243
34,/usr/bin/dbus-launch,20244,20244
34,/usr/bin/firefox,20242,20242
34,/usr/bin/firefox,20240,20255
34,/usr/bin/firefox,20240,20259
34,/usr/bin/dbus-launch,20281,20281
34,/usr/bin/firefox,20240,20251
34,/usr/bin/firefox,20240,20250
34,/opt/firefox31/plugin-container,20291,20291
34,/opt/firefox31/plugin-container,20291,20293
34,/usr/bin/dbus-launch,20294,20294
34,sh,20296,20296
34,/bin/ps,20297,20297
34,/bin/grep,20298,20298
35,/usr/bin/firefox,20318,20318
35,dconf worker,20318,20321
35,/usr/bin/dbus-launch,20322,20322
35,/usr/bin/firefox,20320,20320
35,/usr/bin/firefox,20318,20333
35,/usr/bin/firefox,20318,20337
35,/usr/bin/dbus-launch,20362,20362
35,/usr/bin/firefox,20318,20329
35,/usr/bin/firefox,20318,20328
35,/opt/firefox31/plugin-container,20371,20371
35,/opt/firefox31/plugin-container,20371,20373
35,/usr/bin/dbus-launch,20374,20374
35,sh,20376,20376
35,/bin/ps,20377,20377
35,/bin/grep,20378,20378
35,/opt/firefox31/plugin-container,20384,20384
35,/opt/firefox31/plugin-container,20384,20385
36,/usr/bin/firefox,20408,20408
36,dconf worker,20408,20411
36,/usr/bin/dbus-launch,20412,20412
36,/usr/bin/firefox,20410,20410
36,/usr/bin/firefox,20408,20423
36,/usr/bin/firefox,20408,20427
36,/usr/bin/dbus-launch,20447,20447
36,/usr/bin/firefox,20408,20419
36,/usr/bin/firefox,20408,20418
36,/opt/firefox31/plugin-container,20456,20456
36,/opt/firefox31/plugin-container,20456,20458
36,/usr/bin/dbus-launch,20459,20459
36,sh,20461,20461
36,/bin/ps,20462,20462
36,/bin/grep,20463,20463
36,/opt/firefox31/plugin-container,20469,20469
36,/opt/firefox31/plugin-container,20469,20470
37,/usr/bin/firefox,20492,20492
37,dconf worker,20492,20495
37,/usr/bin/dbus-launch,20496,20496
37,/usr/bin/firefox,20494,20494
37,/usr/bin/firefox,20492,20507
37,/usr/bin/firefox,20492,20511
37,/usr/bin/dbus-launch,20535,20535
37,/usr/bin/firefox,20492,20503
37,/usr/bin/firefox,20492,20502
37,/opt/firefox31/plugin-container,20545,20545
37,/opt/firefox31/plugin-container,20545,20547
37,/usr/bin/dbus-launch,20548,20548
37,sh,20550,20550
37,/bin/ps,20551,20551
37,/bin/grep,20552,20552
37,/opt/firefox31/plugin-container,20558,20558
37,/opt/firefox31/plugin-container,20558,20559
38,/usr/bin/firefox,20582,20582
38,dconf worker,20582,20585
38,/usr/bin/dbus-launch,20586,20586
38,/usr/bin/firefox,20584,20584
38,/usr/bin/firefox,20582,20597
38,/usr/bin/firefox,20582,20601
38,/usr/bin/dbus-launch,20625,20625
38,/usr/bin/firefox,20582,20593
38,/usr/bin/firefox,20582,20592
38,/opt/firefox31/plugin-container,20634,20634
38,/opt/firefox31/plugin-container,20634,20636
38,/usr/bin/dbus-launch,20637,20637
38,sh,20639,20639
38,/bin/ps,20640,20640
38,/bin/grep,20641,20641
38,/opt/firefox31/plugin-container,20647,20647
38,/opt/firefox31/plugin-container,20647,20648
39,/usr/bin/firefox,20670,20670
39,dconf worker,20670,20673
39,/usr/bin/dbus-launch,20674,20674
39,/usr/bin/firefox,20672,20672
39,/usr/bin/firefox,20670,20685
39,/usr/bin/firefox,20670,20689
39,/usr/bin/dbus-launch,20715,20715
39,/usr/bin/firefox,20670,20681
39,/usr/bin/firefox,20670,20680
39,/opt/firefox31/plugin-container,20725,20725
39,/opt/firefox31/plugin-container,20725,20727
39,/usr/bin/dbus-launch,20728,20728
39,sh,20730,20730
39,/bin/ps,20731,20731
39,/bin/grep,20732,20732
39,/opt/firefox31/plugin-container,20739,20739
39,/opt/firefox31/plugin-container,20739,20740
40,/usr/bin/firefox,20762,20762
40,dconf worker,20762,20765
40,/usr/bin/dbus-launch,20766,20766
40,/usr/bin/firefox,20764,20764
40,/usr/bin/firefox,20762,20777
40,/usr/bin/firefox,20762,20781
40,/usr/bin/dbus-launch,20800,20800
40,/usr/bin/firefox,20762,20773
40,/usr/bin/firefox,20762,20772
40,/opt/firefox31/plugin-container,20809,20809
40,/opt/firefox31/plugin-container,20809,20811
40,/usr/bin/dbus-launch,20812,20812
40,sh,20814,20814
40,/bin/ps,20815,20815
40,/bin/grep,20816,20816
40,/opt/firefox31/plugin-container,20822,20822
40,/opt/firefox31/plugin-container,20822,20823
41,/usr/bin/firefox,20847,20847
41,dconf worker,20847,20850
41,/usr/bin/dbus-launch,20851,20851
41,/usr/bin/firefox,20849,20849
41,/usr/bin/firefox,20847,20862
41,/usr/bin/firefox,20847,20866
41,/usr/bin/dbus-launch,20887,20887
41,/usr/bin/firefox,20847,20858
41,/usr/bin/firefox,20847,20857
41,/opt/firefox31/plugin-container,20896,20896
41,/opt/firefox31/plugin-container,20896,20898
41,/usr/bin/dbus-launch,20899,20899
41,sh,20901,20901
41,/bin/ps,20902,20902
41,/bin/grep,20903,20903
41,/opt/firefox31/plugin-container,20909,20909
41,/opt/firefox31/plugin-container,20909,20910
42,/usr/bin/firefox,20932,20932
42,dconf worker,20932,20935
42,/usr/bin/dbus-launch,20936,20936
42,/usr/bin/firefox,20934,20934
42,/usr/bin/firefox,20932,20947
42,/usr/bin/firefox,20932,20951
42,/usr/bin/dbus-launch,20976,20976
42,/usr/bin/firefox,20932,20943
42,/usr/bin/firefox,20932,20942
42,/opt/firefox31/plugin-container,20985,20985
42,/opt/firefox31/plugin-container,20985,20987
42,/usr/bin/dbus-launch,20988,20988
42,sh,20990,20990
42,/bin/ps,20991,20991
42,/bin/grep,20992,20992
42,/opt/firefox31/plugin-container,20998,20998
42,/opt/firefox31/plugin-container,20998,21000
43,/usr/bin/firefox,21022,21022
43,dconf worker,21022,21025
43,/usr/bin/dbus-launch,21026,21026
43,/usr/bin/firefox,21024,21024
43,/usr/bin/firefox,21022,21037
43,/usr/bin/firefox,21022,21041
43,/usr/bin/dbus-launch,21064,21064
43,/usr/bin/firefox,21022,21033
